AÑO,MUNICIPIO,MACHOS MENORES DE 12 MESES,HEMBRAS MENORES DE 12 MESES,MACHOS DE 12 A 24 MESES,HEMBRAS DE 12 A 24 MESES,MACHOS DE 24 A 36 MESES,HEMBRAS DE 24 A 36 MESES,MACHOS MAYORES DE 36 MESES,HEMBRAS MAYORES DE 36 MESES,TOTAL
2019,Ramiriquí,1334,1152,727,807,667,625,367,3545,9224
2019,Ráquira,434,671,536,596,460,682,132,1884,5395
2019,Rondón,670,665,588,304,911,509,287,1483,5417
2019,Saboyá,2132,4284,1951,3130,960,4402,141,11081,28081
2019,Sáchica,137,35,189,48,54,53,1,42,559
2019,Samacá,654,625,799,772,852,818,481,4481,9482
2019,San Eduardo,678,664,679,615,592,610,400,1815,6053
2019,San José de Pare,157,175,317,297,113,151,77,560,1847
2019,San Luis de Gaceno,3868,4103,4712,3822,5738,4602,2721,10771,40337
2019,San Mateo,948,1210,968,832,950,1514,189,1261,7872
2019,San Miguel de Sema,411,3199,593,2322,179,2158,85,11349,20296
2019,San Pablo de Borbur,767,751,1136,920,1461,987,283,2531,8836
2019,Santa María,1382,1556,1481,1453,1637,1664,991,3873,14037
2019,Santa Rosa de Viterbo,972,1549,736,1149,257,798,35,5001,10497
2019,Santa Sofía,504,335,804,511,602,605,161,1139,4661
2019,Santana,206,166,184,165,220,163,86,604,1794
2019,Sativanorte,594,352,553,391,428,297,51,1343,4009
2019,Sativasur,261,252,296,172,157,141,25,520,1824
2019,Siachoque,1657,1649,729,895,362,678,44,4529,10543
2019,Soatá,370,449,477,421,410,405,216,1017,3765
2019,Socha,715,742,501,524,316,442,100,1673,5013
2019,Socotá,1143,1070,1281,824,1121,889,228,2553,9109
2019,Sogamoso,1891,1634,1694,1699,880,705,85,4903,13491
2019,Somondoco,580,615,421,426,498,508,195,1407,4650
2019,Sora,372,453,191,209,50,146,1,1057,2479
2019,Soracá,1031,1144,794,671,308,576,60,3236,7820
2019,Sotaquirá,1403,3070,1126,2357,520,2717,126,8014,19333
2019,Susacón,837,587,774,712,720,329,284,2092,6335
